Time,usaid,chinaaid
2013,10250095.219999999,349786.97918960825
2014,9606968.75,491936.1270224333
2015,10725174.31,433992.5318297083
2016,9841887.46,262644.6591410409
2017,12434103.83,460595.08398159203
2018,15846078.86,731968.6741733631
2019,10306579.5,284693.65416291414
2020,19622645.86,161525.12851671534
2021,10997260.73,162324.58486150025
